en_source,vn_translate,loi_du_doan
Immobilize Pilgrim's Shell: {挑战2统计}/1,Immobilize Pilgrim's Shell: {挑战2统计}/1,C?n ti?ng Anh nghi v?n: Immobilize; Pilgrim's; Shell | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
deep description text,deep description text,C?n ti?ng Anh nghi v?n: deep; description; text | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Comprehensive Mock Battle,Comprehensive Mock Battle,C?n ti?ng Anh nghi v?n: Battle; Comprehensive; Mock | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Comprehensive Mock Battle,Comprehensive Mock Battle,C?n ti?ng Anh nghi v?n: Battle; Comprehensive; Mock | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Every Bit Counts,Every Bit Counts,C?n ti?ng Anh nghi v?n: Bit; Counts; Every | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Every Bit Counts,Every Bit Counts,C?n ti?ng Anh nghi v?n: Bit; Counts; Every | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Walk/Run (Toggle),Walk/Run (Toggle),C?n ti?ng Anh nghi v?n: Run; Toggle; Walk | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Quick Access Wheel,Quick Access Wheel,C?n ti?ng Anh nghi v?n: Access; Quick; Wheel | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Utility/Quick Access Wheel,Công cụ/Quick Access Wheel,C?n ti?ng Anh nghi v?n: Access; Quick; Wheel | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Utility/Quick Access Wheel,Công cụ/Quick Access Wheel,C?n ti?ng Anh nghi v?n: Access; Quick; Wheel | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Bell-Borne Geochelone,Bell-Borne Geochelone,C?n ti?ng Anh nghi v?n: Bell; Borne; Geochelone | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Bell-Borne Geochelone,Bell-Borne Geochelone,C?n ti?ng Anh nghi v?n: Bell; Borne; Geochelone | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
OS Notification Feed,OS Notification Feed,C?n ti?ng Anh nghi v?n: Feed; Notification; OS | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Controller Vibration Intensity,Controller Vibration Intensity,C?n ti?ng Anh nghi v?n: Controller; Intensity; Vibration | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Controller Vibration Range,Controller Vibration Range,C?n ti?ng Anh nghi v?n: Controller; Range; Vibration | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Physics-Based Animation,Physics-Based Animation,C?n ti?ng Anh nghi v?n: Animation; Based; Physics | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Ray-Traced Reflections,Ray-Traced Reflections,C?n ti?ng Anh nghi v?n: Ray; Reflections; Traced | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Ray-Traced Shadows,Ray-Traced Shadows,C?n ti?ng Anh nghi v?n: Ray; Shadows; Traced | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
A Quiet Moment,A Quiet Moment,C?n ti?ng Anh nghi v?n: A; Moment; Quiet | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
In Full Bloom,In Full Bloom,C?n ti?ng Anh nghi v?n: Bloom; Full; In | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Dancing Lion's Blessing,Dancing Lion's Blessing,C?n ti?ng Anh nghi v?n: Blessing; Dancing; Lion's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
An Elegant Cut,An Elegant Cut,C?n ti?ng Anh nghi v?n: An; Cut; Elegant | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
A Pure Heart,A Pure Heart,C?n ti?ng Anh nghi v?n: A; Heart; Pure | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Songs of Seasons,Songs of Seasons,C?n ti?ng Anh nghi v?n: of; Seasons; Songs | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Write a Letter,Write a Letter,C?n ti?ng Anh nghi v?n: a; Letter; Write | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Phantom: Diggy Duggy,Phantom: Diggy Duggy,C?n ti?ng Anh nghi v?n: Diggy; Duggy; Phantom | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Phantom: Vitreum Dancer,Phantom: Vitreum Dancer,C?n ti?ng Anh nghi v?n: Dancer; Phantom; Vitreum | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Phantom: Questless Knight,Phantom: Questless Knight,C?n ti?ng Anh nghi v?n: Knight; Phantom; Questless | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Phantom: Sentry Construct,Phantom: Sentry Construct,C?n ti?ng Anh nghi v?n: Construct; Phantom; Sentry | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Frontier of Ruin,Frontier of Ruin,C?n ti?ng Anh nghi v?n: Frontier; of; Ruin | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Flowers of Oblivion,Flowers of Oblivion,C?n ti?ng Anh nghi v?n: Flowers; Oblivion; of | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Birth of Darkness,Birth of Darkness,C?n ti?ng Anh nghi v?n: Birth; Darkness; of | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Bearer of Legend,Bearer of Legend,C?n ti?ng Anh nghi v?n: Bearer; Legend; of | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
No data on file,Không data on file,C?n ti?ng Anh nghi v?n: data; file; on | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: IV,Idle Animation: IV,C?n ti?ng Anh nghi v?n: Animation; Idle; IV | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Birthday feature unavailable,Birthday feature unavailable,C?n ti?ng Anh nghi v?n: Birthday; feature; unavailable | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Dawn upon Thorns,Dawn upon Thorns,C?n ti?ng Anh nghi v?n: Dawn; Thorns; upon | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Dawn upon Thorns,Dawn upon Thorns,C?n ti?ng Anh nghi v?n: Dawn; Thorns; upon | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Moment of Triumph,Moment of Triumph,C?n ti?ng Anh nghi v?n: Moment; of; Triumph | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Hazard Zone Results,Hazard Zone Results,C?n ti?ng Anh nghi v?n: Hazard; Results; Zone | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Respawning Waters Rewards,Rewards Respawning Waters,C?n ti?ng Anh nghi v?n: Respawning; Rewards; Waters | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Escalation - Tunability Breakdown,Escalation - Tunability Breakdown,C?n ti?ng Anh nghi v?n: Breakdown; Escalation; Tunability | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Escalation - Corrosive Flame,Escalation - Corrosive Flame,C?n ti?ng Anh nghi v?n: Corrosive; Escalation; Flame | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Escalation - Computation Glutton,Escalation - Computation Glutton,C?n ti?ng Anh nghi v?n: Computation; Escalation; Glutton | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Escalation - Wild Assault,Escalation - Wild Assault,C?n ti?ng Anh nghi v?n: Assault; Escalation; Wild | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Escalation - Melting Polarity,Escalation - Melting Polarity,C?n ti?ng Anh nghi v?n: Escalation; Melting; Polarity | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Escalation - Regimented Torment,Escalation - Regimented Torment,C?n ti?ng Anh nghi v?n: Escalation; Regimented; Torment | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Escalation - Sunforged Strategy,Escalation - Sunforged Strategy,C?n ti?ng Anh nghi v?n: Escalation; Strategy; Sunforged | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Escalation - Intense Showdown,Escalation - Intense Showdown,C?n ti?ng Anh nghi v?n: Escalation; Intense; Showdown | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Escalation - Bulwark Protocol,Escalation - Bulwark Protocol,C?n ti?ng Anh nghi v?n: Bulwark; Escalation; Protocol | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Anniversary - Signature Livery,Anniversary - Signature Livery,C?n ti?ng Anh nghi v?n: Anniversary; Livery; Signature | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Dance of Qingloong,Dance of Qingloong,C?n ti?ng Anh nghi v?n: Dance; of; Qingloong | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
SkyArk Space Station,SkyArk Space Station,C?n ti?ng Anh nghi v?n: SkyArk; Space; Station | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Roya Icebreak Port,Roya Icebreak Port,C?n ti?ng Anh nghi v?n: Icebreak; Port; Roya | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Startorch Academy: Auditorium,Startorch Academy: Auditorium,C?n ti?ng Anh nghi v?n: Academy; Auditorium; Startorch | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
"""A Small Workspace""","""A Small Workspace""",C?n ti?ng Anh nghi v?n: A; Small; Workspace | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Academy's Dark Side,Academy's Dark Side,C?n ti?ng Anh nghi v?n: Academy's; Dark; Side | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Academy's Dark Side,Academy's Dark Side,C?n ti?ng Anh nghi v?n: Academy's; Dark; Side | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Academy's Dark Side,Academy's Dark Side,C?n ti?ng Anh nghi v?n: Academy's; Dark; Side | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Random result empty,Random result empty,C?n ti?ng Anh nghi v?n: empty; Random; result | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Selection data empty,Selection data empty,C?n ti?ng Anh nghi v?n: data; empty; Selection | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Stage data missing,Stage data missing,C?n ti?ng Anh nghi v?n: data; missing; Stage | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Insufficient Enhancement Modules,Insufficient Enhancement Modules,C?n ti?ng Anh nghi v?n: Enhancement; Insufficient; Modules | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Insufficient selection chances,Insufficient selection chances,C?n ti?ng Anh nghi v?n: chances; Insufficient; selection | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Multi-line unsupported,Multi-line unsupported,C?n ti?ng Anh nghi v?n: line; Multi; unsupported | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Scene modules missing,Scene modules missing,C?n ti?ng Anh nghi v?n: missing; modules; Scene | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Page interface missing,Page interface missing,C?n ti?ng Anh nghi v?n: interface; missing; Page | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Random result empty,Random result empty,C?n ti?ng Anh nghi v?n: empty; Random; result | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
No times Refreshed data,Không times Refreshed data,C?n ti?ng Anh nghi v?n: data; Refreshed; times | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Insufficient Knowledge Modules,Insufficient Knowledge Modules,C?n ti?ng Anh nghi v?n: Insufficient; Knowledge; Modules | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Ensemble of Hunyuan,Ensemble of Hunyuan,C?n ti?ng Anh nghi v?n: Ensemble; Hunyuan; of | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
A Step Forward,A Step Forward,C?n ti?ng Anh nghi v?n: A; Forward; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Projector: Zip Zap,Projector: Zip Zap,C?n ti?ng Anh nghi v?n: Projector; Zap; Zip | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Projector: Mining Reindeer,Projector: Mining Reindeer,C?n ti?ng Anh nghi v?n: Mining; Projector; Reindeer | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Projector: Voidwing Moth,Projector: Voidwing Moth,C?n ti?ng Anh nghi v?n: Moth; Projector; Voidwing | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Front Wheel Lift,Front Wheel Lift,C?n ti?ng Anh nghi v?n: Front; Lift; Wheel | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Play/Pause Music,Play/Pause Music,C?n ti?ng Anh nghi v?n: Music; Pause; Play | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Auto-Accelerated Drift,Auto-Accelerated Drift,C?n ti?ng Anh nghi v?n: Accelerated; Auto; Drift | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Auto-Accelerated Drift,Auto-Accelerated Drift,C?n ti?ng Anh nghi v?n: Accelerated; Auto; Drift | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Hide Motorbike HUD,Hide Motorbike HUD,C?n ti?ng Anh nghi v?n: Hide; HUD; Motorbike | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Footprints on Frostlands Ⅰ,Footprints on Frostlands Ⅰ,C?n ti?ng Anh nghi v?n: Footprints; Frostlands; on | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Footprints on Frostlands Ⅱ,Footprints on Frostlands Ⅱ,C?n ti?ng Anh nghi v?n: Footprints; Frostlands; on | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Footprints on Frostlands Ⅲ,Footprints on Frostlands Ⅲ,C?n ti?ng Anh nghi v?n: Footprints; Frostlands; on | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Footprints on Frostlands Ⅳ,Footprints on Frostlands Ⅳ,C?n ti?ng Anh nghi v?n: Footprints; Frostlands; on | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Footprints on Frostlands Ⅴ,Footprints on Frostlands Ⅴ,C?n ti?ng Anh nghi v?n: Footprints; Frostlands; on | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Footprints on Frostlands Ⅵ,Footprints on Frostlands Ⅵ,C?n ti?ng Anh nghi v?n: Footprints; Frostlands; on | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Tune Strain Response,Tune Strain Response,C?n ti?ng Anh nghi v?n: Response; Strain; Tune | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Key already assigned,Key already assigned,C?n ti?ng Anh nghi v?n: already; assigned; Key | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Lollo Joy Album,Album Lollo Joy,C?n ti?ng Anh nghi v?n: Album; Joy; Lollo | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Blossoms in Dreams,Blossoms in Dreams,C?n ti?ng Anh nghi v?n: Blossoms; Dreams; in | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Whispers of Revelry,Whispers of Revelry,C?n ti?ng Anh nghi v?n: of; Revelry; Whispers | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Forward/Backward & Turning,Forward/Backward & Turning,C?n ti?ng Anh nghi v?n: Backward; Forward; Turning | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
"Ashinohara's ""Lady Miko""","Ashinohara's ""Lady Miko""",C?n ti?ng Anh nghi v?n: Ashinohara's; Lady; Miko | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Chapter III Act IV,Chương III Act IV,C?n ti?ng Anh nghi v?n: Act; III; IV | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Shadows in Chase,Shadows in Chase,C?n ti?ng Anh nghi v?n: Chase; in; Shadows | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Dimmr Travelogue I,Dimmr Travelogue I,C?n ti?ng Anh nghi v?n: Dimmr; I; Travelogue | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Dimmr Travelogue II,Dimmr Travelogue II,C?n ti?ng Anh nghi v?n: Dimmr; II; Travelogue | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Dimmr Travelogue III,Dimmr Travelogue III,C?n ti?ng Anh nghi v?n: Dimmr; III; Travelogue | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Dimmr Travelogue IV,Dimmr Travelogue IV,C?n ti?ng Anh nghi v?n: Dimmr; IV; Travelogue | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Dimmr Travelogue V,Dimmr Travelogue V,C?n ti?ng Anh nghi v?n: Dimmr; Travelogue; V | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Completed - Standardized Happiness,Completed - Standardized Happiness,C?n ti?ng Anh nghi v?n: Completed; Happiness; Standardized | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Completed - Waffle Therapy,Completed - Waffle Therapy,C?n ti?ng Anh nghi v?n: Completed; Therapy; Waffle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Completed - Ground Engravings,Completed - Ground Engravings,C?n ti?ng Anh nghi v?n: Completed; Engravings; Ground | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Frequency Cassette Recorder,Frequency Cassette Recorder,C?n ti?ng Anh nghi v?n: Cassette; Frequency; Recorder | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Stage already completed,Stage already completed,C?n ti?ng Anh nghi v?n: already; completed; Stage | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Sea of Flames,Sea of Flames,C?n ti?ng Anh nghi v?n: Flames; of; Sea | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
A Hidden Place,A Hidden Place,C?n ti?ng Anh nghi v?n: A; Hidden; Place | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Port of Riccioli,Port of Riccioli,C?n ti?ng Anh nghi v?n: of; Port; Riccioli | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Sanctuary of Faith,Sanctuary of Faith,C?n ti?ng Anh nghi v?n: Faith; of; Sanctuary | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Lone Mourning Aix,Lone Mourning Aix,C?n ti?ng Anh nghi v?n: Aix; Lone; Mourning | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Corroded Memory Zones,Corroded Memory Zones,C?n ti?ng Anh nghi v?n: Corroded; Memory; Zones | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Detection Point I,Detection Point I,C?n ti?ng Anh nghi v?n: Detection; I; Point | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Detection Point II,Detection Point II,C?n ti?ng Anh nghi v?n: Detection; II; Point | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Detection Point III,Detection Point III,C?n ti?ng Anh nghi v?n: Detection; III; Point | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Detection Point IV,Detection Point IV,C?n ti?ng Anh nghi v?n: Detection; IV; Point | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Detection Point V,Detection Point V,C?n ti?ng Anh nghi v?n: Detection; Point; V | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Detection Point VII,Detection Point VII,C?n ti?ng Anh nghi v?n: Detection; Point; VII | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Winds of Departure,Winds of Departure,C?n ti?ng Anh nghi v?n: Departure; of; Winds | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Golden Brick Road,Golden Brick Road,C?n ti?ng Anh nghi v?n: Brick; Golden; Road | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Castle of Darkness,Castle of Darkness,C?n ti?ng Anh nghi v?n: Castle; Darkness; of | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Vitreum Dancer's Smile,Vitreum Dancer's Smile,C?n ti?ng Anh nghi v?n: Dancer's; Smile; Vitreum | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Burst-Fire Transponder,Burst-Fire Transponder,C?n ti?ng Anh nghi v?n: Burst; Fire; Transponder | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Delay-Fire Transponder,Delay-Fire Transponder,C?n ti?ng Anh nghi v?n: Delay; Fire; Transponder | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Volley-Fire Transponder,Volley-Fire Transponder,C?n ti?ng Anh nghi v?n: Fire; Transponder; Volley | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
High-Capacity Variable,High-Capacity Variable,C?n ti?ng Anh nghi v?n: Capacity; High; Variable | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Low-Capacity Variable,Low-Capacity Variable,C?n ti?ng Anh nghi v?n: Capacity; Low; Variable | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Goal 1: Dodge 3 attacks,Goal 1: Dodge 3 attacks,C?n ti?ng Anh nghi v?n: attacks; Dodge; Goal | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Goal 2: Keep the Dreamscape Nexus Integrity above 30%,Mục tiêu 2: Giữ Dreamscape Nexus Integrity trên 30%,C?n ti?ng Anh nghi v?n: Dreamscape; Integrity; Nexus | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Goal 3: Keep the Dreamscape Nexus Integrity above 60%,Mục tiêu 3: Giữ Dreamscape Nexus Integrity trên 60%,C?n ti?ng Anh nghi v?n: Dreamscape; Integrity; Nexus | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Dream Patrol: Forever Friends,Dream Patrol: Forever Bạn bè,C?n ti?ng Anh nghi v?n: Dream; Forever; Patrol | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Goal 2: Keep the Dreamscape Nexus Integrity above 30%,Mục tiêu 2: Giữ Dreamscape Nexus Integrity trên 30%,C?n ti?ng Anh nghi v?n: Dreamscape; Integrity; Nexus | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Goal 3: Keep the Dreamscape Nexus Integrity above 60%,Mục tiêu 3: Giữ Dreamscape Nexus Integrity trên 60%,C?n ti?ng Anh nghi v?n: Dreamscape; Integrity; Nexus | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Goal 2: Take less than 8 laser hits from Hocus Pocus,Mục tiêu 2: Nhận ít hơn 8 lần trúng laser từ Hocus Pocus,C?n ti?ng Anh nghi v?n: Hocus; laser; Pocus | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Goal 2: Keep the Dreamscape Nexus Integrity above 30%,Mục tiêu 2: Giữ Dreamscape Nexus Integrity trên 30%,C?n ti?ng Anh nghi v?n: Dreamscape; Integrity; Nexus | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Goal 3: Keep the Dreamscape Nexus Integrity above 60%,Mục tiêu 3: Giữ Dreamscape Nexus Integrity trên 60%,C?n ti?ng Anh nghi v?n: Dreamscape; Integrity; Nexus | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Goal 2: Keep the Dreamscape Nexus Integrity above 30%,Mục tiêu 2: Giữ Dreamscape Nexus Integrity trên 30%,C?n ti?ng Anh nghi v?n: Dreamscape; Integrity; Nexus | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
